,id,case_number,date,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,year,latitude,longitude,GEOID
104,13321960,JG558007,2023-12-28T21:53:00.000,1822,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,STREET,True,False,2533,25,37.0,25,18,2023,41.912145004,-87.74593166,17031831300
179,13321957,JG557913,2023-12-28T19:29:00.000,1822,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,GAS STATION,True,False,623,6,6.0,69,18,2023,41.757230688,-87.624738576,17031691200
181,13321843,JG557897,2023-12-28T19:21:00.000,2022,NARCOTICS,POSSESS - COCAINE,STREET,True,False,614,6,21.0,71,18,2023,41.736991055,-87.663095224,17031711100
200,13321669,JG557832,2023-12-28T18:57:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,True,False,1121,11,27.0,23,18,2023,41.896367483,-87.713904215,17031231100
233,13321672,JG557797,2023-12-28T17:53:00.000,2022,NARCOTICS,POSSESS - COCAINE,RESIDENCE,True,False,735,7,17.0,67,18,2023,41.762317651,-87.671034814,17031672000
256,13321588,JG557672,2023-12-28T17:14:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,True,False,1115,11,28.0,26,18,2023,41.878859906,-87.726370928,17031260700
259,13321680,JG557675,2023-12-28T17:09:00.000,1822,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,STREET,False,False,1134,11,24.0,27,18,2023,41.870063576,-87.70425614,17031837300
312,13321514,JG557547,2023-12-28T15:47:00.000,2027,NARCOTICS,POSSESS - CRACK,ALLEY,True,False,1121,11,27.0,23,18,2023,41.8961583,-87.716337772,17031231200
397,13321339,JG557341,2023-12-28T13:11:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),ALLEY,True,False,1121,11,27.0,23,18,2023,41.89547653,-87.714584979,17031231500
400,13321384,JG557368,2023-12-28T13:07:00.000,1812,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,CTA PLATFORM,True,False,925,9,20.0,37,18,2023,41.809125265,-87.631906508,17031835500
437,13321429,JG557323,2023-12-28T12:17:00.000,1822,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,GAS STATION,True,False,511,5,9.0,49,18,2023,41.707095328,-87.628834415,17031490700
571,13321184,JG557035,2023-12-28T08:15:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,True,False,1121,11,27.0,23,18,2023,41.894520289,-87.713844933,17031231500
830,13320774,JG556645,2023-12-27T19:23:00.000,1812,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,STREET,True,False,522,5,21.0,53,18,2023,41.684733877,-87.633669246,17031530200
832,13320699,JG556651,2023-12-27T19:20:00.000,2028,NARCOTICS,POSSESS - SYNTHETIC DRUGS,SIDEWALK,True,False,2535,25,37.0,23,18,2023,41.902812122,-87.723866626,17031230700
864,13320882,JG556613,2023-12-27T18:30:00.000,1822,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,STREET,True,False,735,7,17.0,67,18,2023,41.765915976,-87.671129768,17031671500
886,13320657,JG556585,2023-12-27T17:52:00.000,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,STREET,True,False,822,8,23.0,62,18,2023,41.793352891,-87.713833604,17031620400
891,13320811,JG556577,2023-12-27T17:41:00.000,1822,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,STREET,True,False,533,5,10.0,54,18,2023,41.657284072,-87.604380182,17031540101
896,13320665,JG556565,2023-12-27T17:37:00.000,1812,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,STREET,True,False,711,7,16.0,68,18,2023,41.787079933,-87.641779482,17031834700
907,13320552,JG556528,2023-12-27T17:26:00.000,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,GAS STATION,True,False,1533,15,28.0,25,18,2023,41.880399914,-87.753008553,17031251800
910,13320924,JG556696,2023-12-27T17:20:00.000,1812,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,STREET,False,False,1113,11,28.0,25,18,2023,41.880518571,-87.743441605,17031252202
