ID,longitude,latitude,heading,dates,status,absolute_greenery,relative_greenery,relative_tree
I0,-87.7099572444027,41.97574742235933,23,2022-11,OK,17463,0.07625897395587695,0.0828667147521069
I1,-87.723374067341,41.91721622776311,80,2021-11,OK,49124,0.21451903090010305,0.21339495862121327
I2,-87.61461849508102,41.79337250736304,314,2022-07,OK,103153,0.45045764991528237,0.3506567458811024
I3,-87.7040888912463,41.81112774547425,50,2022-09,OK,95186,0.41566664919911267,0.45168362311138105
I4,-87.63881262566919,41.77514717225051,151,2019-05,OK,95198,0.41571905186116787,0.2767585984359578
I5,-87.81341472041188,41.95204857091201,215,2022-10,OK,148235,0.6473257174797813,0.5858989446511275
I6,-87.69372130454934,41.89930364730764,58,2021-11,OK,1684,0.007353840241750948,0.007991040923240452
I7,-87.7131632501306,41.99204366312831,157,2019-06,OK,119121,0.5201881255567783,0.4026744362614836
I8,-87.56810800745322,41.72517169353367,283,2022-10,OK,99861,0.4360818529581303,0.47386777769341737
I9,-87.6493355118381,41.89506350082851,216,2021-08,OK,1122,0.00489964890216423,0.005290980183736998
I10,-87.66933071520364,41.74329544532411,60,2022-07,OK,101463,0.4430776083425038,0.3583298534659479
I11,-87.5500276945962,41.73700693804864,357,2022-10,OK,71092,0.3104508375692152,0.3347980411510136
I12,-87.72246343749386,41.94513166513484,316,2019-06,OK,80513,0.3515912941710772,0.3651108495938046
I13,-87.81316301022706,41.9468209359833,93,2022-10,OK,85139,0.3717925203933693,0.3854253663351302
I14,-87.74933634550017,41.80925387375672,343,2022-09,OK,83169,0.363189750039302,0.34022188899855743
I15,-87.81351124894469,41.99353950112278,224,2019-05,OK,112459,0.4910959143391151,0.3061508237795156
I16,-87.66160115635083,41.69667625977859,266,2022-07,OK,101100,0.44149242781533304,0.27349859539898264
I17,-87.76678740404111,41.79815246641264,47,2019-10,OK,52661,0.2299647155408828,0.20395186394351225
I18,-87.60150305966613,41.74966773485685,250,2022-09,OK,82197,0.35894513441282816,0.27708602232176754
I19,-87.6757686178317,41.93488783702673,18,2018-07,OK,83199,0.3633207566944401,0.23347221167716953
