Layer,Name,GEOID,Longitude,Latitude,TRF_2023
,,,,,"Traffic intensity (distance-weighted vehicles), 2023"
Census tract,Tract 101,17031010100,-87.66983010,42.02125530,282.50315795470334
Census tract,Tract 102.01,17031010201,-87.68014840,42.01600770,206.77472158813947
Census tract,Tract 102.02,17031010202,-87.67332560,42.01604760,133.06153649819476
Census tract,Tract 103,17031010300,-87.66653930,42.01594310,257.2054048028707
Census tract,Tract 104,17031010400,-87.65881570,42.00641090,444.07620325310097
Census tract,Tract 105.01,17031010501,-87.66395830,42.00941190,370.4088821418925
Census tract,Tract 105.02,17031010502,-87.66332730,42.00451730,347.2538367386211
Census tract,Tract 105.03,17031010503,-87.66312620,42.00032070,337.4118345976608
Census tract,Tract 106,17031010600,-87.66768300,42.00627740,89.14796553319519
Census tract,Tract 107.01,17031010701,-87.67862040,42.00914820,275.6500229427988
Census tract,Tract 107.02,17031010702,-87.67272570,42.00901990,153.78650680332913
Census tract,Tract 201,17031020100,-87.68711690,42.01572100,367.1936462189672
Census tract,Tract 202,17031020200,-87.69951910,42.01569030,120.82255795305836
Census tract,Tract 203.01,17031020301,-87.70518650,42.00686510,140.24938615938984
Census tract,Tract 203.02,17031020302,-87.69496340,42.00854060,171.4921345104511
Census tract,Tract 204,17031020400,-87.68591180,42.00848800,268.5359579795265
Census tract,Tract 205,17031020500,-87.68419820,42.00131290,217.1546211692984
Census tract,Tract 206.01,17031020601,-87.70180250,42.00087460,131.87866823048813
Census tract,Tract 206.02,17031020602,-87.69363730,42.00131560,244.9104815573788
Census tract,Tract 207.01,17031020701,-87.70368970,41.98689150,315.2032610645024
Census tract,Tract 207.02,17031020702,-87.70489390,41.99412560,314.16801354626153
Census tract,Tract 208.01,17031020801,-87.69441490,41.98680810,340.1907587613845
Census tract,Tract 208.02,17031020802,-87.69463060,41.99405920,275.2563253937185
Census tract,Tract 209.01,17031020901,-87.68547360,41.99439220,279.08045871650137
Census tract,Tract 209.02,17031020902,-87.67868410,41.99425850,303.03544865768714
Census tract,Tract 301.01,17031030101,-87.65487900,41.99105380,363.3064132165446
Census tract,Tract 301.02,17031030102,-87.65502250,41.99302640,384.5862753607177
Census tract,Tract 301.03,17031030103,-87.65515270,41.99552410,535.7377155537073
Census tract,Tract 301.04,17031030104,-87.65598640,41.99727730,596.5420154467765
Census tract,Tract 302,17031030200,-87.66523000,41.99444140,267.762104357313
Census tract,Tract 303,17031030300,-87.67253480,41.99438750,514.0363837519695
Census tract,Tract 304,17031030400,-87.67207880,41.98695150,570.6585659259144
Census tract,Tract 305,17031030500,-87.66493590,41.98722600,571.8114969940159
Census tract,Tract 306.01,17031030601,-87.65460870,41.98897160,380.00484695365935
Census tract,Tract 306.03,17031030603,-87.65839790,41.98547620,983.949462822396
Census tract,Tract 306.04,17031030604,-87.65245460,41.98587070,1124.342973040781
Census tract,Tract 307.01,17031030701,-87.65796590,41.98274530,1159.372025
Census tract,Tract 307.02,17031030702,-87.65452860,41.98081480,1343.2297304262293
Census tract,Tract 307.03,17031030703,-87.65787080,41.97887490,638.8521441403252
Census tract,Tract 307.06,17031030706,-87.65091550,41.98041510,988.8869710992842
Census tract,Tract 308,17031030800,-87.66418800,41.97991230,287.9315208905929
Census tract,Tract 309,17031030900,-87.67144540,41.97979510,227.21770805176152
Census tract,Tract 310,17031031000,-87.67110940,41.97243700,316.7116326689504
Census tract,Tract 311,17031031100,-87.66386620,41.97266840,227.7804388052228
Census tract,Tract 312,17031031200,-87.65734100,41.97270920,253.9205416868436
Census tract,Tract 313,17031031300,-87.64652980,41.97376460,970.5001205751304
Census tract,Tract 314,17031031400,-87.64240950,41.95844750,918.7270063528824
Census tract,Tract 315.01,17031031501,-87.65243430,41.96728860,539.4675272252755
Census tract,Tract 315.02,17031031502,-87.65236560,41.96363260,227.2074794002122
Census tract,Tract 317,17031031700,-87.66319540,41.96544660,106.15633685404352
Census tract,Tract 318,17031031800,-87.67062090,41.96701140,249.1528723
Census tract,Tract 319,17031031900,-87.67018410,41.96337400,145.11268765146707
Census tract,Tract 321,17031032100,-87.65301790,41.95815380,294.24783777440007
Census tract,Tract 401,17031040100,-87.68288560,41.98562230,142.83291187884765
Census tract,Tract 402.01,17031040201,-87.69400050,41.97258040,282.70642187097377
Census tract,Tract 402.02,17031040202,-87.69409600,41.97985490,292.170427628669
Census tract,Tract 403,17031040300,-87.70198320,41.97694370,99.26465777105872
Census tract,Tract 404.01,17031040401,-87.68608160,41.97206670,293.71074763039314
Census tract,Tract 404.02,17031040402,-87.67881810,41.97254500,99.71561547696798
Census tract,Tract 406,17031040600,-87.68401800,41.96683380,223.99886054687744
Census tract,Tract 407,17031040700,-87.69406820,41.96743140,280.7681914267951
Census tract,Tract 408,17031040800,-87.69182130,41.96397400,133.868206443857
Census tract,Tract 409,17031040900,-87.68385440,41.96318470,92.78722433831312
Census tract,Tract 501,17031050100,-87.67637300,41.95784510,135.99091612687695
Census tract,Tract 502,17031050200,-87.68371680,41.95774050,216.5179683244679
Census tract,Tract 503,17031050300,-87.69044420,41.95788510,300.8357099412205
Census tract,Tract 505,17031050500,-87.68350730,41.95044740,239.6930553273364
Census tract,Tract 506,17031050600,-87.67618240,41.95054770,150.2862568452886
Census tract,Tract 507,17031050700,-87.67605950,41.94507100,30.75445714
Census tract,Tract 508,17031050800,-87.68092790,41.94500950,47.60103264
Census tract,Tract 509,17031050900,-87.68577800,41.94494660,338.3632725
Census tract,Tract 510,17031051000,-87.68573170,41.94130240,460.2660202
Census tract,Tract 511,17031051100,-87.68082660,41.94136520,118.1082457
Census tract,Tract 512,17031051200,-87.67595360,41.94142240,100.12280454875396
Census tract,Tract 513,17031051300,-87.67583950,41.93599710,66.0833983954902
Census tract,Tract 514,17031051400,-87.68095940,41.93544200,83.9777598991814
Census tract,Tract 601,17031060100,-87.66661120,41.95753110,277.2448496026855
Census tract,Tract 602,17031060200,-87.67151750,41.95790360,337.7569977193255
Census tract,Tract 603,17031060300,-87.67133270,41.95060490,377.06408300286085
Census tract,Tract 604,17031060400,-87.66653640,41.95067310,329.0732192553788
Census tract,Tract 605,17031060500,-87.66050080,41.95272000,109.6740189
Census tract,Tract 608,17031060800,-87.64264890,41.95395900,2074.1649166793204
Census tract,Tract 609,17031060900,-87.64177840,41.95151660,1636.8033782734235
Census tract,Tract 610,17031061000,-87.65197030,41.94922060,127.64102
Census tract,Tract 611,17031061100,-87.65680350,41.94913980,33.02571818
Census tract,Tract 612,17031061200,-87.66164270,41.94905990,40.75172631
